id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
62784,Andrey Korikov,M,24.0,199.0,95.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Coxed Pairs,,Russia,24.0
62794,Dina Koritskaya,F,25.0,173.0,62.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Heptathlon,,Russia,20.7
62797,Mikheil Korkia,M,23.0,196.0,92.0,Soviet Union,GEO,1972 Summer,1972,Summer,Munich,Basketball,Basketball,Gold,Georgia,23.9
62797,Mikheil Korkia,M,27.0,196.0,92.0,Soviet Union,GEO,1976 Summer,1976,Summer,Montreal,Basketball,Basketball,Bronze,Georgia,23.9
62798,Otar Korkia,M,29.0,195.0,85.0,Soviet Union,GEO,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball,Silver,Georgia,22.4
62800,Elmar Korko,M,28.0,185.0,82.0,Estonia,EST,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Single Sculls,,Estonia,24.0
62808,Irina Kormysheva,F,21.0,166.0,60.0,Kazakhstan,KAZ,1998 Winter,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Moguls,,Kazakhstan,21.8
62815,Aleksandr Olegovich Kornelyuk,M,22.0,165.0,64.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics 100 Metres,,Russia,23.5
62815,Aleksandr Olegovich Kornelyuk,M,22.0,165.0,64.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Athletics,Athletics 4 X 100 Metres Relay,Silver,Russia,23.5
62823,Valentin Mikhaylovich Kornev,M,26.0,174.0,68.0,Soviet Union,RUS,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Free Rifle Three Positions 300 Metres,Silver,Russia,22.5
62823,Valentin Mikhaylovich Kornev,M,26.0,174.0,68.0,Soviet Union,RUS,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Small-Bore Rifle Prone 50 Metres,,Russia,22.5
62823,Valentin Mikhaylovich Kornev,M,29.0,174.0,68.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Free Rifle Three Positions 300 Metres,,Russia,22.5
62823,Valentin Mikhaylovich Kornev,M,29.0,174.0,68.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Small-Bore Rifle Prone 50 Metres,,Russia,22.5
62824,Leonid Leonidovich Korneyenko,M,22.0,187.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Sprint,,Belarus,22.9
62824,Leonid Leonidovich Korneyenko,M,22.0,187.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing 15 Kilometres,,Belarus,22.9
62824,Leonid Leonidovich Korneyenko,M,22.0,187.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Team Sprint,,Belarus,22.9
62825,Aleksandr Vladimirovich Korneyev,M,27.0,200.0,96.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball,Bronze,Russia,24.0
